Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
33.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27,5.037666816597934
23.0,4.6,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,24.727320964848317
31.0,5.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,10.910023418701769
39.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34,7.556249306867528
20.0,4.7,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19,28.530411782458277
37.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,5.495303238658364
,,Stormy,Low,2,Snack,scooter,1.0,No,,14,27.999860773729246
31.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,22.644473839635083
22.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18,19.09075340000697
30.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,23.34065429765461
38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,31.224621312054914
34.0,4.1,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37,31.136136932686078
34.0,3.5,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,17.55160250748328
28.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,21.730479012956465
27.0,5.0,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16,12.592779793310557
,,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28,9.970877992613174
22.0,4.3,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42,25.475029507646852
31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,20.093845881178
35.0,5.0,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28,2.830560695427386
30.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32,2.607756536438217
35.0,4.0,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,13.638628737613375
35.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,21.721659002359313
24.0,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,16.28754024448457
36.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,20.370407434861626
27.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,19.231385311632913
39.0,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,27,28.936306533261458
22.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,32,19.23268196610978
39.0,4.4,Windy,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,54,22.427073546181294
29.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,11,22.644473839635083
39.0,4.1,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,8.242918421116666
34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,2.6316347365582398
36.0,4.5,Sunny,High,2,Drinks,scooter,1.0,No,Urban,15,2.5472118896404767
35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,7.791534387934097
27.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,7.31775986996754
29.0,2.6,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,26.53124595181298
,,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,30,35.31551251441138
30.0,4.3,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,36,31.205626045603452
23.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,2.492509029273341
23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,10.375737651135466
32.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,7.8929695370134105
26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,5.495929574711372
25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,24.4472818936084
36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,2.728367653893335
23.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,20,35.31687316144718
24.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Urban,16,2.4017060944411153
26.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,19.014908915440223
36.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,34.196130384458726
31.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,13.737372300650248
37.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,15.048238802084386
38.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,22.569519139931266
26.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,16,12.59131332346308
20.0,4.9,Fog,Low,2,Meal,motorcycle,0.0,No,Urban,14,13.639162339922455
26.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,7982.851521700991
35.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,5.154338899500299
34.0,4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,10.991831470032544
22.0,4.9,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,10.527017914816488
25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,15.110265654433704
36.0,4.7,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,28,7.823718375777242
34.0,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2.0,Yes,Urban,41,19.009238897731265
37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Urban,29,28.513196563394064
26.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16,5.4555358210910905
28.0,4.2,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,49,13.576196748832933
25.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,,Metropolitian,10,4.990218308819742
32.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,,17,27.443553978271172
26.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28,20.759978372077185
37.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,34.19279569119084
31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,12.005927374551359
27.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,15,19.09154678582127
39.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,13.583678803292898
28.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Urban,15,8.49168153096395
28.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20.364513515474453
26.0,4.5,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,16.365869733569077
39.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,22,2.7161923185601986
26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,13.636249892868127
30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,20.855835740080774
33.0,4.4,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,27.695388504734265
27.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,31.35104706898513
37.0,4.9,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,26,2.591514158939081
27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,5.433444004051128
39.0,4.8,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,32.58785887965337
28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,5.037741443144435
34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,24.45305325744691
31.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,5.189660911269404
38.0,4.9,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,31,11.490256388837714
34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,2.606909317446256
,,,,3,Snack,electric_scooter,2.0,No,Urban,40,18.414112108076832
,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,13.576559078100116
37.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,21.04804135189157
28.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,27.58310331581774
37.0,4.5,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,51,28.530411782458277
37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,29,25.475029507646852
37.0,4.6,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,2.513349579137555
22.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,4.803232931281211
39.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,7.556249306867528
26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,27.59059874863069
35.0,4.3,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,19.015662726370056
30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,8.150615755621597
27.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,28,7.522746796943372
30.0,4.6,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,54,27.405180237265863
30.0,5.0,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,10.522935129113385
23.0,4.6,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,33,5.339460508115535
32.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,13.737372300650248
31.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,2.518933291969739
32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,31.69706881813192
20.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,5.661121254147949
24.0,4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Urban,25,13.638311524261939
37.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,16,2.5087189764576445
27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,35.70901165944238
20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,12.550292055001707
36.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Urban,45,23.330417504001474
24.0,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,7.479926745864532
28.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,10,21.60586070825978
32.0,4.7,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,26,2.727780083111581
33.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,2.716901527398831
21.0,4.7,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,44,19.20630659987402
38.0,4.7,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,28,35.295758739902574
28.0,4.7,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,26,7.530919919189277
36.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,36,21.978181683981077
26.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27,13.155343539569795
30.0,4.6,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,5.213894304533862
23.0,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,22.58605331762082
38.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,7.525411670007256
33.0,4.7,Fog,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,17,15.04497738630817
28.0,4.9,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,22,10.048068583827465
28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,5.0168722144179165
22.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,22,30.217369761775803
27.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,5.0941838230318215
20.0,4.4,Fog,Jam,1,Meal,scooter,2.0,No,,32,22.423501336783467
25.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,5.184951034550623
21.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,15.110595759176643
29.0,5.0,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,32.72838643280755
34.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,42,28.671067186008248
22.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,26.821644746541057
27.0,4.5,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,11,15.581063860536911
26.0,4.8,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,18,5.43370032857611
22.0,4.6,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,24.44757702299877
20.0,4.7,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,17,6144.214440549586
37.0,4.6,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,32,13.578938844438001
35.0,4.0,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,31,2.747965262828245
39.0,4.6,Cloudy,Jam,0,Meal,motorcycle,2.0,Yes,Metropolitian,50,21.719873788006737
25.0,4.0,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,33,25.26995597531051
20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,30.221893576941422
30.0,4.8,Sunny,Low,1,Drinks,motorcycle,,No,Metropolitian,12,5.430043525869843
25.0,4.8,Sunny,Low,1,Buffet,motorcycle,0.0,No,Urban,16,2.7161923185601986
24.0,4.9,Sunny,Medium,2,Drinks,scooter,0.0,No,Metropolitian,12,35.29640181182037
24.0,4.6,Windy,Medium,2,Snack,electric_scooter,0.0,No,Urban,24,21.730479012956465
,,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,8.182759983590522
26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,28,20.366942026592014
30.0,4.5,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,31,24.456073623740476
26.0,5.0,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,24,11.322241389964427
33.0,4.2,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,39,7.206156319051774
30.0,5.0,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,24,5.214612901653809
39.0,4.1,Stormy,Jam,2,Meal,scooter,3.0,Yes,Metropolitian,42,33.486513463074104
36.0,4.9,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,41,35.89972666438178
24.0,4.3,Stormy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,37,9.970508832661757
32.0,4.7,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,29,33.74868795119255
20.0,5.0,Sandstorms,Low,1,Snack,motorcycle,,No,Metropolitian,10,16.806474699655517
22.0,5.0,Sunny,Jam,2,Snack,scooter,0.0,No,Metropolitian,17,7.237935807711533
